Dark-Light,Size,Salinity,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement_Mean,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration,,
Light_2,L,5,Light_2-MC3-5,0,0,,,,1,120.032,,0,2.0008,1,2.0008,,
Light_3,L,5,Light_3-MC3-5,0.199029,0.0994739,-12630.9,8.90147,266.935,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,5,Light_3-MC3-5,1.11042,0.554983,12522.9,6.00777,180.159,1,120.032,0.200082,2,0.533552,3,1.60066,,
Light_3,L,5,Light_3-MC3-5,0.0279501,0.0139695,,,,1,120.032,,0,2.0008,1,2.0008,,
Dark_1,L,15,Dark_1-MC1-15,8.34277,4.16967,129.511,180,5397.79,1,120.032,0.066694,3,0.450184,4,1.80074,,
Dark_1,L,15,Dark_1-MC1-15,0.411549,0.20569,7466.91,13.2369,396.945,1,120.032,0.200082,1,0.900369,2,1.80074,,
Dark_2,L,15,Dark_2-MC1-15,2.73233,1.3656,131.756,180,5397.79,1,120.032,0.066694,1,0.967063,2,1.93413,,
Dark_2,L,15,Dark_2-MC1-15,0.479048,0.239426,9092.77,7.36262,220.788,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,15,Dark_3-MC1-15,0,0,,,,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,15,Dark_3-MC1-15,0.0661052,0.0330391,37698.5,-7.42432,-222.638,1,120.032,,0,2.00082,1,2.00082,,
Light_1,L,15,Light_1-MC1-15,0,0,,,,2,119.899,,0,2.00082,1,2.00082,,
Light_1,L,15,Light_1-MC1-15,0.502433,0.251113,109.281,-2.84616,-85.3498,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,15,Light_2-MC1-15,2.64014,1.31953,136.356,180,5397.79,1,120.032,0.066694,1,0.967063,2,1.93413,,
Light_2,L,15,Light_2-MC1-15,0.23036,0.115133,54609.4,44.0015,1319.5,1,120.032,,0,2.00082,1,2.00082,,
Light_3,L,15,Light_3-MC1-15,10.8103,5.40295,6266.09,9.26451,277.821,1,120.032,0.0889253,6,0.20961,7,1.46727,,
Light_3,L,15,Light_3-MC1-15,0.325204,0.162535,4479.55,-3.7142,-111.38,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,15,Dark_1-MC2-15,0.573116,0.286441,-1258.77,1.87904,56.348,1,120.032,,0,2.00082,1,2.00082,,
Dark_1,L,15,Dark_1-MC2-15,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
Dark_1,L,15,Dark_1-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
Dark_2,L,15,Dark_2-MC2-15,0.473704,0.236755,-1987.39,-1.94243,-58.249,1,120.032,,0,2.00082,1,2.00082,,
Dark_2,L,15,Dark_2-MC2-15,0,0,,,,1,120.032,,0,2.00081,1,2.00081,,
Dark_2,L,15,Dark_2-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
Dark_3,L,15,Dark_3-MC2-15,0.219331,0.10962,834.626,6.65782,199.653,1,120.032,,0,2.00082,1,2.00082,,
Dark_3,L,15,Dark_3-MC2-15,0.225636,0.112772,33095.3,-4.83892,-145.118,1,120.032,,0,2.00081,1,2.00081,,
Dark_3,L,15,Dark_3-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
Light_1,L,15,Light_1-MC2-15,0.517502,0.258645,-1125.32,13.0539,391.457,5,114.666,,0,2.00082,1,2.00082,,
Light_1,L,15,Light_1-MC2-15,1.39728,0.698353,10968.5,41.6436,1248.81,4,119.732,0.033347,1,0.98373,2,1.96746,,
Light_1,L,15,Light_1-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
Light_2,L,15,Light_2-MC2-15,0.603107,0.30143,-9494.01,11.7661,352.839,1,120.032,,0,2.00082,1,2.00082,,
Light_2,L,15,Light_2-MC2-15,0.0645394,0.0322566,28886,43.5737,1306.69,1,120.032,,0,2.00081,1,2.00081,,
Light_2,L,15,Light_2-MC2-15,0,0,,,,,,,0,2.00081,1,2.00081,,
