Dark.Light,Salinity,Size,Concentration,Distance_moved_Total,Velocity_Mean,Meander,Turn angle,Angular velocity,In_zone_Frequency,In_zone_Cumulative_duration,Movement,Freezing_Mean,Freezing_Frequency,Freezing_duration
Light,25,o,Cont,25.4823,0.215677,1642.58,0.374658,11.2361,0,0,5,11.9017,10,119.017
Light,15,o,Cont,53.7285,0.471379,-1127.62,-1.56012,-46.7815,23,67.8622,32,2.68844,42,112.915
Light,20,S,C1,56.6189,0.479753,-20.0546,1.2967,38.8839,63,45.3192,22,4.12675,28,115.549
Light,25,o,Cont,32.8228,0.276169,-2270.74,-1.46459,-43.919,17,30.9465,21,4.90347,24,117.683
Light,25,o,Cont,8.66628,0.0722284,26619.9,16.3711,490.925,0,0,0,119.984,1,119.984
Dark,25,o,Cont,83.0336,0.693688,753.633,0.369633,11.0891,59,58.8661,37,2.71401,38,103.132
Dark,25,o,Cont,46.4495,0.388702,835.702,-0.267545,-8.02643,40,78.3659,35,3.15673,37,116.799
Dark,25,o,Cont,50.0944,0.418737,-469.721,-0.429938,-12.8983,23,110.099,8,14.8832,8,119.065
Dark,25,L,C1,50.6803,0.433416,-505.214,-1.71022,-51.307,40,62.266,51,2.17177,52,112.932
Dark,25,o,Cont,96.4631,0.81496,197.723,-0.45832,-13.7497,45,90.2658,30,3.28434,32,105.099
Dark,20,L,C1,44.1017,0.368952,-170.477,-1.38101,-41.4307,22,83.4658,55,2.06962,56,115.899
Dark,25,L,C1,28.9181,0.241254,854.672,-0.542716,-16.2816,18,102.966,8,13.2739,9,119.465
Dark,20,L,C1,102.491,0.870545,86.0302,-1.33215,-39.9648,26,58.4661,35,2.68736,37,99.4323
Dark,20,o,Cont,17.899,0.149326,-4395.76,1.72023,51.6075,5,115.632,8,13.1851,9,118.665
Dark,25,L,C1,135.137,1.17172,-52.1767,1.37432,41.2301,46,60.6661,59,1.05875,59,62.466
Dark,20,o,Cont,70.4901,0.588404,-552.444,-0.571755,-17.1528,18,65.2993,21,5.19042,21,108.999
Dark,20,L,C1,148.905,1.26263,-54.8303,-0.411515,-12.3456,89,65.1327,59,0.58926,59,34.7663
Dark,25,o,Cont,47.4449,0.397254,-248.587,-0.302285,-9.06865,9,105.299,12,9.91101,12,118.932
Dark,25,L,C1,22.462,0.187393,3810.27,1.80634,54.1906,2,115.566,1,59.9494,2,119.899
Dark,20,o,Cont,43.629,0.364998,-1638.19,-1.01074,-30.3225,26,83.4658,16,6.58697,18,118.565
Dark,20,L,C1,5.30528,0.0442603,26420.1,144.467,4334.06,1,119.999,0,119.999,1,119.999
Dark,20,o,Cont,76.9936,0.646649,-260.984,-1.24815,-37.445,43,79.6992,45,2.42764,47,114.099
Dark,20,o,Cont,16.9444,0.141362,-424.404,-0.90392,-27.1179,13,57.9661,2,39.9774,3,119.932
Dark,20,L,C1,23.0498,0.192297,-1798.11,0.931835,27.9553,81,57.4661,1,59.9827,2,119.965
Dark,25,L,C1,44.1431,0.368272,49.8952,0.688848,20.6656,17,87.8658,11,9.55824,12,114.699
Dark,25,o,Cont,88.551,0.745177,-389.955,-1.0702,-32.1063,42,54.1661,72,1.38218,73,100.899
Dark,25,L,C1,62.507,0.529576,-1620.73,-0.845867,-25.3763,57,54.4661,78,1.40249,80,112.199
Dark,20,o,Cont,76.7296,0.685501,-140.472,0.377578,11.3274,25,71.166,19,3.84401,28,107.632
Dark,25,L,C1,100.8,0.844228,-57.1638,0.492918,14.7877,55,64.6327,47,2.25388,47,105.932
Dark,25,o,Cont,53.1258,0.452653,2043.28,-0.836305,-25.0894,42,79.6325,44,2.52664,45,113.699
Dark,20,o,Cont,65.3539,0.554792,-501.055,-0.929135,-27.8743,84,56.2328,66,1.58284,70,110.799
Dark,25,o,Cont,65.3824,0.574208,-399.084,-0.617646,-18.5296,85,69.6993,76,1.21378,87,105.599
Dark,15,L,C1,21.3724,0.178303,2695.37,3.57608,107.284,1,2.29998,0,119.999,1,119.999
Dark,25,L,C2,67.2245,0.562083,-192.872,0.309787,9.2937,26,106.799,17,6.72542,17,114.332
Dark,25,o,Cont,46.9961,0.398276,-934.258,0.710696,21.3211,31,72.0659,21,4.50252,26,117.065
Dark,20,L,C2,8.62593,0.0719634,-5810.01,-0.843927,-25.3181,1,119.999,0,119.999,1,119.999
Dark,20,o,Cont,15.6963,0.130949,878.473,-1.02876,-30.8631,1,119.999,2,39.9329,3,119.799
Dark,15,L,C1,70.4294,0.604551,-401.612,-0.245068,-7.3521,46,91.0324,34,2.75524,38,104.699
Dark,15,o,Cont,81.0018,0.680122,-128.617,0.0490815,1.47246,39,36.133,53,1.99998,54,107.999
Dark,15,o,Cont,71.9366,0.600144,754.078,0.910876,27.3266,38,84.1992,24,4.50129,25,112.532
Dark,25,L,C2,127.083,1.06584,27.016,-0.706304,-21.1893,78,53.2328,47,1.73109,45,77.8992
Dark,25,L,C2,88.6144,0.767453,4.54627,0.584278,17.5285,131,65.9327,95,1.03563,101,104.599
Dark,15,o,Cont,23.3249,0.194701,1616.28,-0.4434,-13.3021,18,117.832,15,7.30618,16,116.899
Dark,25,L,C2,59.2454,0.505943,-567.222,0.0082599,0.2478,50,74.0659,32,3.29899,34,112.166
Dark,15,o,Cont,29.7256,0.24813,1622.59,2.08457,62.5378,31,106.599,38,3.01108,39,117.432
Dark,25,L,C2,58.7508,0.492193,-1489.38,0.223656,6.70974,27,33.533,79,1.36995,81,110.966
Dark,25,L,C2,104.472,0.871578,58.1543,1.85174,55.5526,43,71.166,29,3.23568,28,90.5991
Dark,15,o,Cont,93.7329,0.784384,-391.504,-1.0111,-30.3332,63,77.6992,29,3.69077,29,107.032
Dark,20,L,C2,0.970265,0.00809462,7888.96,149.645,4489.39,0,0,0,119.999,1,119.999
Dark,15,o,Cont,47.5584,0.396765,-242.557,0.990237,29.7074,24,91.2658,24,4.69862,25,117.465
Dark,20,L,C2,100.543,0.844433,-38.4709,0.607796,18.2341,32,78.9992,62,1.47794,62,91.6324
Dark,20,L,C2,45.9897,0.392296,556.645,0.932288,27.9689,30,91.4658,21,4.32465,27,116.765
Dark,20,L,C2,36.8485,0.311575,-2857.2,0.922313,27.6697,59,51.0662,23,4.49739,26,116.932
Dark,25,L,C3,45.5699,0.382409,1331.8,-1.56081,-46.8247,67,67.566,26,4.1952,28,117.465
Dark,15,L,C2,47.2924,0.415457,-1384.25,-0.0218428,-0.65529,34,48.4995,48,2.05877,55,113.232
Dark,20,L,C3,25.1734,0.209897,1233.42,-0.515221,-15.4568,7,92.7657,3,29.933,4,119.732
Dark,15,o,Cont,106.165,0.929649,-199.566,-1.90048,-57.0149,89,63.1327,64,1.17523,70,82.2658
Dark,20,L,C3,22.3036,0.191121,-381.331,2.25465,67.6402,11,97.7324,11,8.32849,14,116.599
Dark,25,L,C3,65.4477,0.639352,421.469,0.166734,5.00207,41,31.0664,62,1.26276,77,97.2324
Dark,15,L,C3,0.0392039,0.000326884,9182.75,180,5400.05,0,0,0,119.999,1,119.999
Dark,15,L,C2,45.4884,0.3867,897.495,0.453517,13.6057,57,52.8328,41,2.50215,46,115.099
Dark,25,L,C3,51.0581,0.440034,25.3036,0.112753,3.38261,58,79.3325,42,2.46592,46,113.432
Dark,15,o,Cont,10.7736,0.0898311,1325.18,-1.05093,-31.5283,1,119.999,0,119.999,1,119.999
Dark,15,L,C2,59.7269,0.50093,-472.573,-1.0476,-31.4283,26,74.6326,18,5.89161,20,117.832
Dark,25,L,C3,36.1306,0.303962,-530.423,-0.639941,-19.1984,36,76.7992,26,4.70129,25,117.532
Dark,25,L,C3,1.61663,0.0134871,35536.4,128.126,3843.83,1,0.033333,1,59.9661,2,119.932
Dark,15,L,C2,38.9657,0.325713,554.164,-0.813751,-24.4128,51,34.4663,46,2.52606,46,116.199
Dark,20,L,C3,30.5022,0.259449,-788.922,-2.3507,-70.5216,14,80.1992,17,5.86661,20,117.332
Dark,15,L,C3,13.4102,0.111877,-2585.21,-2.16597,-64.9799,1,119.999,5,19.922,6,119.532
